t_rx_iso,msg_seq,t_tx_ns,t_rx_ns,payload_app,payload_envelope,lat_ms,clock_skew
2025-09-18 22:39:15.711,1,1758245955627996247,1758245955693585517,457,481,65.589,0
2025-09-18 22:49:15.925,2,1758246555853298834,1758246555921412119,457,481,68.113,0
2025-09-18 22:59:16.238,3,1758247156066826502,1758247156235413898,457,481,168.587,0
2025-09-18 23:09:16.531,4,1758247756282934789,1758247756527904734,457,481,244.97,0
2025-09-18 23:19:16.624,5,1758248356483181685,1758248356621279487,457,481,138.098,0
2025-09-18 23:29:15.772,6,1758248955682938578,1758248955769239084,457,481,86.301,0
2025-09-18 23:39:16.110,7,1758249555863623609,1758249556107424954,457,481,243.801,0
2025-09-18 23:49:16.302,8,1758250156063560486,1758250156299097200,457,481,235.537,0
2025-09-18 23:59:16.332,9,1758250756273576485,1758250756329952870,453,477,56.376,0
2025-09-19 00:09:16.502,10,1758251356486525391,1758251356499966525,458,482,13.441,0
2025-09-19 00:19:15.876,11,1758251955683627574,1758251955872170217,458,482,188.543,0
2025-09-19 00:29:15.894,12,1758252555877576802,1758252555890633588,458,482,13.057,0
2025-09-19 00:39:16.200,13,1758253156094428122,1758253156197319972,458,482,102.892,0
2025-09-19 00:49:16.429,14,1758253756308224052,1758253756426382006,458,482,118.158,0
2025-09-19 00:59:15.685,15,1758254355516847596,1758254355682075644,458,482,165.228,0
2025-09-19 01:09:16.000,16,1758254955720637155,1758254955997851895,458,482,277.215,0
2025-09-19 01:19:16.162,17,1758255555925785930,1758255556159803865,458,482,234.018,0
2025-09-19 01:29:16.437,18,1758256156144341454,1758256156433972131,458,482,289.631,0
2025-09-19 01:39:16.650,19,1758256756335126862,1758256756647895090,458,482,312.768,0
2025-09-19 01:49:16.772,20,1758257356516847722,1758257356769667587,458,482,252.82,0
2025-09-19 01:59:15.771,21,1758257955720692191,1758257955768546668,458,482,47.854,0
2025-09-19 02:09:16.133,22,1758258555928081622,1758258556130740280,458,482,202.659,0
2025-09-19 02:19:16.169,23,1758259156141964794,1758259156166089064,458,482,24.124,0
2025-09-19 02:29:16.409,24,1758259756350677768,1758259756406687142,458,482,56.009,0
2025-09-19 02:39:16.673,25,1758260356551239939,1758260356670662516,458,482,119.423,0
2025-09-19 02:49:15.836,26,1758260955743926724,1758260955833689539,458,482,89.763,0
2025-09-19 02:59:15.978,27,1758261555933177886,1758261555975175155,458,482,41.997,0
2025-09-19 03:09:16.178,28,1758262156148144072,1758262156175149171,458,482,27.005,0
2025-09-19 03:19:16.408,29,1758262756356812006,1758262756405378268,458,482,48.566,0
2025-09-19 03:29:15.653,30,1758263355563802794,1758263355650433781,458,482,86.631,0
2025-09-19 03:39:15.906,31,1758263955769847522,1758263955903719178,458,482,133.872,0
2025-09-19 03:49:16.079,32,1758264555981520788,1758264556076428754,458,482,94.908,0
2025-09-19 03:59:16.209,33,1758265156198678855,1758265156205714247,458,482,7.035,0
2025-09-19 04:09:16.570,34,1758265756385572581,1758265756568036282,458,482,182.464,0
2025-09-19 04:19:15.819,35,1758266355590615799,1758266355815773618,458,482,225.158,0
2025-09-19 04:29:16.121,36,1758266955797964067,1758266956118097325,458,482,320.133,0
2025-09-19 04:39:16.087,37,1758267556009856353,1758267556084675593,458,482,74.819,0
2025-09-19 04:49:16.297,38,1758268156228666600,1758268156294811558,458,482,66.145,0
2025-09-19 04:59:15.613,39,1758268755432530247,1758268755609119740,458,482,176.589,0
2025-09-19 05:09:15.870,40,1758269355628317929,1758269355866178768,458,482,237.861,0
2025-09-19 05:19:16.034,41,1758269955814733729,1758269956032099524,458,482,217.366,0
2025-09-19 05:29:16.335,42,1758270556009746984,1758270556332483464,458,482,322.736,0
2025-09-19 05:39:16.445,43,1758271156225168222,1758271156442283108,458,482,217.115,0
2025-09-19 05:49:16.727,44,1758271756434144889,1758271756724573855,458,482,290.429,0
2025-09-19 05:59:15.961,45,1758272355638485029,1758272355958713270,458,482,320.228,0
2025-09-19 06:09:16.027,46,1758272955836743314,1758272956024654778,458,482,187.911,0
2025-09-19 06:19:16.066,47,1758273556050840336,1758273556063032090,458,482,12.192,0
2025-09-19 06:29:16.506,48,1758274156252907604,1758274156504107139,458,482,251.2,0
2025-09-19 06:39:15.614,49,1758274755461618500,1758274755611227349,458,482,149.609,0
2025-09-19 06:49:15.851,50,1758275355668445892,1758275355848040055,458,482,179.594,0
2025-09-19 06:59:16.116,51,1758275955869255210,1758275956113155416,458,482,243.9,0
2025-09-19 07:09:16.155,52,1758276556087408373,1758276556152038290,458,482,64.63,0
2025-09-19 07:19:16.405,53,1758277156297901445,1758277156402612128,458,482,104.711,0
2025-09-19 07:29:15.561,54,1758277755497931337,1758277755558531346,462,486,60.6,0
2025-09-19 07:39:15.766,55,1758278355687178526,1758278355763489952,458,482,76.311,0
2025-09-19 07:49:15.900,56,1758278955886027716,1758278955896708461,458,482,10.681,0
2025-09-19 07:59:16.189,57,1758279556098215757,1758279556185996702,458,482,87.781,0
2025-09-19 08:09:16.426,58,1758280156316191880,1758280156423109064,458,482,106.917,0
2025-09-19 08:19:15.718,59,1758280755520487363,1758280755715767809,458,482,195.28,0
2025-09-19 08:29:15.808,60,1758281355715462750,1758281355805713751,458,482,90.251,0
2025-09-19 08:39:16.062,61,1758281955899307225,1758281956059573655,458,482,160.266,0
2025-09-19 08:49:16.202,62,1758282556116355724,1758282556200106458,458,482,83.751,0
2025-09-19 08:59:16.445,63,1758283156328786673,1758283156442639184,458,482,113.853,0
2025-09-19 09:09:15.627,64,1758283755540846463,1758283755624133607,458,482,83.287,0
2025-09-19 09:19:15.965,65,1758284355744444924,1758284355961802942,458,482,217.358,0
2025-09-19 09:29:16.072,66,1758284955955868973,1758284956069226886,458,482,113.358,0
2025-09-19 09:39:16.340,67,1758285556170925660,1758285556336121531,458,482,165.196,0
2025-09-19 09:49:16.642,68,1758286156367948161,1758286156639370768,458,482,271.423,0
2025-09-19 09:59:15.740,69,1758286755556174098,1758286755737914689,458,482,181.741,0
2025-09-19 10:09:16.018,70,1758287355762160358,1758287356014924335,458,482,252.764,0
2025-09-19 10:19:16.032,71,1758287955966275432,1758287956028025340,458,482,61.75,0
2025-09-19 10:29:16.415,72,1758288556179210421,1758288556411973672,458,482,232.763,0
2025-09-19 10:39:16.462,73,1758289156391573544,1758289156458443357,458,482,66.87,0
2025-09-19 10:49:16.755,74,1758289756593437795,1758289756751958023,458,482,158.52,0
2025-09-19 10:59:15.849,75,1758290355785877817,1758290355846524587,462,486,60.647,0
2025-09-19 11:09:16.183,76,1758290955989884087,1758290956180090512,462,486,190.206,0
2025-09-19 11:19:16.305,77,1758291556204349891,1758291556302641894,462,486,98.292,0
2025-09-19 11:29:16.426,78,1758292156411194869,1758292156423038390,462,486,11.844,0
2025-09-19 11:39:15.630,79,1758292755615802109,1758292755627089080,462,486,11.287,0
2025-09-19 11:49:15.836,80,1758293355821232200,1758293355832877938,462,486,11.646,0
2025-09-19 11:59:16.061,81,1758293956033877915,1758293956058759082,462,486,24.881,0
2025-09-19 12:09:16.283,82,1758294556248112220,1758294556279383512,462,486,31.271,0
2025-09-19 12:19:16.661,83,1758295156448896882,1758295156658255039,462,486,209.358,0
2025-09-19 12:29:15.829,84,1758295755636728999,1758295755826626070,462,486,189.897,0
2025-09-19 12:39:16.957,85,1758296356846286195,1758296356955163329,462,486,108.877,0
2025-09-19 12:49:16.297,86,1758296956059101061,1758296956293550587,458,482,234.45,0
2025-09-19 12:59:16.528,87,1758297556274302807,1758297556524707441,458,482,250.405,0
2025-09-19 13:09:15.646,88,1758298155487717953,1758298155643934732,458,482,156.217,0
2025-09-19 13:19:16.749,89,1758298756692513967,1758298756746968198,458,482,54.454,0
2025-09-19 13:29:16.182,90,1758299355884575261,1758299356178703967,458,482,294.129,0
2025-09-19 13:39:16.365,91,1758299956092429917,1758299956361995615,462,486,269.566,0
2025-09-19 13:49:16.432,92,1758300556282159469,1758300556428560763,462,486,146.401,0
2025-09-19 13:59:16.702,93,1758301156493153543,1758301156699811099,462,486,206.658,0
2025-09-19 14:09:15.745,94,1758301755701617738,1758301755742130383,462,486,40.513,0
2025-09-19 14:19:16.015,95,1758302355908371222,1758302356012687657,462,486,104.316,0
2025-09-19 14:29:16.288,96,1758302956130787575,1758302956285035077,462,486,154.248,0
2025-09-19 14:39:16.465,97,1758303556345661796,1758303556461373281,462,486,115.711,0
2025-09-19 14:49:15.584,98,1758304155550712920,1758304155581443679,462,486,30.731,0
2025-09-19 14:59:16.034,99,1758304755746901964,1758304756032244626,462,486,285.343,0
2025-09-19 15:09:16.001,100,1758305355940040674,1758305355998420322,467,491,58.38,0
2025-09-19 15:19:16.292,101,1758305956141407330,1758305956288693474,463,487,147.286,0
2025-09-19 15:29:16.562,102,1758306556349052428,1758306556560125420,463,487,211.073,0
2025-09-19 15:39:15.574,103,1758307155558316893,1758307155570699761,467,491,12.383,0
2025-09-19 15:49:15.883,104,1758307755767929296,1758307755879766428,467,491,111.837,0
