t_rx_iso,msg_seq,t_tx_ns,t_rx_ns,payload_app,payload_envelope,lat_ms,clock_skew
2025-09-22 19:59:16.152,1,1758581955995596351,1758581956133774211,461,485,138.178,0
2025-09-22 20:09:16.406,2,1758582556221230470,1758582556403410040,461,485,182.18,0
2025-09-22 20:19:16.679,3,1758583156420621766,1758583156676492098,461,485,255.87,0
2025-09-22 20:29:16.643,4,1758583756612037871,1758583756639761825,461,485,27.724,0
2025-09-22 20:39:15.992,5,1758584355798140983,1758584355989069065,461,485,190.928,0
2025-09-22 20:49:16.264,6,1758584955988682110,1758584956260449536,461,485,271.767,0
2025-09-22 20:59:16.365,7,1758585556206037430,1758585556362721982,461,485,156.685,0
2025-09-22 21:09:16.642,8,1758586156418789829,1758586156638331655,461,485,219.542,0
2025-09-22 21:19:16.913,9,1758586756624338887,1758586756909976389,461,485,285.638,0
2025-09-22 21:29:15.946,10,1758587355827451260,1758587355943123359,462,486,115.672,0
2025-09-22 21:39:16.080,11,1758587956044531627,1758587956077903660,462,486,33.372,0
2025-09-22 21:49:16.542,12,1758588556248363145,1758588556538570966,462,486,290.208,0
2025-09-22 21:59:16.626,13,1758589156459530601,1758589156623018047,462,486,163.487,0
2025-09-22 22:09:17.033,14,1758589755670166245,1758589757030448980,462,486,1360.283,0
2025-09-22 22:19:16.208,15,1758590355878411126,1758590356204814606,458,482,326.403,0
2025-09-22 22:29:16.182,16,1758590956101044701,1758590956179342425,458,482,78.298,0
2025-09-22 22:39:16.380,17,1758591556319529729,1758591556376923083,458,482,57.393,0
2025-09-22 22:49:16.530,18,1758592156521407301,1758592156528007035,458,482,6.6,0
2025-09-22 22:59:17.779,19,1758592757710015813,1758592757776342242,458,482,66.326,0
2025-09-22 23:09:16.013,20,1758593355916400643,1758593356010039666,458,482,93.639,0
2025-09-22 23:19:17.755,21,1758593956135915090,1758593957752638209,458,482,1616.723,0
2025-09-22 23:29:16.445,22,1758594556350175688,1758594556442251812,458,482,92.076,0
2025-09-22 23:39:19.323,23,1758595157561587542,1758595159319920885,458,482,1758.333,0
2025-09-22 23:49:17.394,24,1758595755750319457,1758595757391716619,458,482,1641.397,0
2025-09-22 23:59:16.036,25,1758596355961459874,1758596356033174657,458,482,71.715,0
2025-09-23 00:09:16.208,26,1758596956183929915,1758596956205384367,458,482,21.454,0
2025-09-23 00:19:21.421,27,1758597561383533316,1758597561418769989,458,482,35.237,0
2025-09-23 00:29:16.914,28,1758598156578456188,1758598156911205308,458,482,332.749,0
2025-09-23 00:39:19.072,29,1758598758773248571,1758598759069655018,458,482,296.406,0
2025-09-23 00:49:16.174,30,1758599355968228553,1758599356171438497,458,482,203.21,0
2025-09-23 00:59:16.298,31,1758599956163782081,1758599956295674714,458,482,131.893,0
2025-09-23 01:09:16.517,32,1758600556349495906,1758600556514607888,458,482,165.112,0
2025-09-23 01:19:16.576,33,1758601156560164690,1758601156573161501,458,482,12.997,0
2025-09-23 01:29:15.886,34,1758601755767887422,1758601755882495478,458,482,114.608,0
2025-09-23 01:39:18.047,35,1758602356980007976,1758602358044285232,458,482,1064.277,0
2025-09-23 01:49:16.486,36,1758602956192968799,1758602956483133953,458,482,290.165,0
2025-09-23 01:59:19.340,37,1758603556398617134,1758603559338045379,458,482,2939.428,0
2025-09-23 02:09:16.815,38,1758604156583665978,1758604156811512537,458,482,227.847,0
2025-09-23 02:19:19.730,39,1758604757787462673,1758604759728110426,458,482,1940.648,0
2025-09-23 02:29:16.176,40,1758605355991375620,1758605356173310883,458,482,181.935,0
2025-09-23 02:39:16.302,41,1758605956204317229,1758605956299614975,458,482,95.298,0
2025-09-23 02:49:16.572,42,1758606556414678172,1758606556569879960,458,482,155.202,0
2025-09-23 02:59:17.919,43,1758607157607251139,1758607157917024516,458,482,309.773,0
2025-09-23 03:09:15.898,44,1758607755809245541,1758607755895597122,458,482,86.352,0
2025-09-23 03:19:16.283,45,1758608356021554928,1758608356280563632,458,482,259.009,0
