t_rx_iso,msg_seq,t_tx_ns,t_rx_ns,payload_app,payload_envelope,lat_ms,clock_skew
2025-09-18 22:40:04.630,1,1758246004347442005,1758246004630469549,42,138,283.028,0
2025-09-18 22:50:04.178,2,1758246603868449983,1758246604178154258,39,135,309.704,0
2025-09-18 23:00:04.597,3,1758247204381063766,1758247204597196693,39,135,216.133,0
2025-09-18 23:10:03.886,4,1758247803795466758,1758247803886447527,39,135,90.981,0
2025-09-18 23:20:04.125,5,1758248404110055012,1758248404125534349,38,134,15.479,0
2025-09-18 23:30:04.629,6,1758249004339419300,1758249004629390631,39,135,289.971,0
2025-09-18 23:40:03.853,7,1758249603840331565,1758249603853063235,39,135,12.732,0
2025-09-18 23:50:04.223,8,1758250204080686369,1758250204223705573,38,134,143.019,0
2025-09-19 00:00:03.639,9,1758250803412427147,1758250803639560689,39,135,227.134,0
2025-09-19 00:10:04.078,10,1758251403833554698,1758251404078390150,39,135,244.835,0
2025-09-19 00:20:04.413,11,1758252004292607618,1758252004413055207,39,135,120.448,0
2025-09-19 00:30:03.681,12,1758252603618876558,1758252603681188320,39,135,62.312,0
2025-09-19 00:40:04.121,13,1758253203885208332,1758253204121549798,39,135,236.341,0
2025-09-19 00:50:04.399,14,1758253804323767853,1758253804399422818,39,135,75.655,0
2025-09-19 01:00:03.878,15,1758254403582043810,1758254403878674867,39,135,296.631,0
2025-09-19 01:10:04.196,16,1758255004096107511,1758255004196780813,38,134,100.673,0
2025-09-19 01:20:04.675,17,1758255604406122056,1758255604675654528,39,135,269.532,0
2025-09-19 01:30:04.021,18,1758256203880076853,1758256204021023595,39,135,140.947,0
2025-09-19 01:40:04.316,19,1758256804238828862,1758256804316393309,38,134,77.564,0
2025-09-19 01:50:04.694,20,1758257404528884813,1758257404694559190,39,135,165.674,0
2025-09-19 02:00:04.037,21,1758258003883780959,1758258004037880747,39,135,154.1,0
2025-09-19 02:10:04.406,22,1758258604248539514,1758258604406179837,38,134,157.64,0
2025-09-19 02:20:03.780,23,1758259203607710869,1758259203780810773,39,135,173.1,0
2025-09-19 02:30:04.023,24,1758259803993706594,1758259804023382214,39,135,29.676,0
2025-09-19 02:40:04.287,25,1758260404248627222,1758260404287408894,38,134,38.782,0
2025-09-19 02:50:04.680,26,1758261004500610058,1758261004680099920,39,135,179.49,0
2025-09-19 03:00:03.944,27,1758261603888758141,1758261603944130491,39,135,55.372,0
2025-09-19 03:10:04.396,28,1758262204164945246,1758262204396054183,38,134,231.109,0
2025-09-19 03:20:04.601,29,1758262804585793929,1758262804601397542,39,135,15.604,0
2025-09-19 03:30:03.810,30,1758263403795442370,1758263403810690228,39,135,15.248,0
2025-09-19 03:40:04.182,31,1758264004021402923,1758264004182741002,38,134,161.338,0
2025-09-19 03:50:04.615,32,1758264604390422866,1758264604615183529,39,135,224.761,0
2025-09-19 04:00:04.114,33,1758265203820095901,1758265204114728346,39,135,294.632,0
2025-09-19 04:10:04.492,34,1758265804333589076,1758265804492143346,39,135,158.554,0
2025-09-19 04:20:03.740,35,1758266403679175660,1758266403740034184,39,135,60.859,0
2025-09-19 04:30:03.989,36,1758267003931253977,1758267003989567187,39,135,58.313,0
2025-09-19 04:40:04.315,37,1758267604192311771,1758267604315393440,38,134,123.082,0
2025-09-19 04:50:04.833,38,1758268204509735279,1758268204833627647,39,135,323.892,0
2025-09-19 05:00:04.147,39,1758268804049168850,1758268804147976078,38,134,98.807,0
2025-09-19 05:10:04.492,40,1758269404360009791,1758269404492727249,39,135,132.717,0
2025-09-19 05:20:03.743,41,1758270003698308259,1758270003743604342,39,135,45.296,0
2025-09-19 05:30:04.255,42,1758270603962691714,1758270604255160791,39,135,292.469,0
2025-09-19 05:40:04.500,43,1758271204448638216,1758271204500873806,39,135,52.236,0
2025-09-19 05:50:03.720,44,1758271803692096875,1758271803720139884,39,135,28.043,0
2025-09-19 06:00:04.114,45,1758272403915371773,1758272404114918452,39,135,199.547,0
2025-09-19 06:10:04.597,46,1758273004325750568,1758273004597979393,39,135,272.229,0
2025-09-19 06:20:04.050,47,1758273603804018450,1758273604050978103,39,135,246.96,0
2025-09-19 06:30:04.425,48,1758274204268141781,1758274204425212338,38,134,157.071,0
2025-09-19 06:40:04.628,49,1758274804613428463,1758274804628574389,39,135,15.146,0
2025-09-19 06:50:04.079,50,1758275403819307412,1758275404079434460,39,135,260.127,0
2025-09-19 07:00:04.308,51,1758276004293800128,1758276004308073679,39,135,14.274,0
2025-09-19 07:10:04.690,52,1758276604516096287,1758276604690843111,39,135,174.747,0
2025-09-19 07:20:05.921,53,1758277205896798206,1758277205921634015,39,135,24.836,0
2025-09-19 07:30:04.404,54,1758277804146344576,1758277804404534342,41,137,258.19,0
2025-09-19 07:40:03.687,55,1758278403620882380,1758278403687667066,39,135,66.785,0
2025-09-19 07:50:03.974,56,1758279003903746903,1758279003974074647,39,135,70.328,0
2025-09-19 08:00:04.419,57,1758279604168739707,1758279604419930713,38,134,251.191,0
2025-09-19 08:10:03.787,58,1758280203616819986,1758280203787451515,39,135,170.632,0
2025-09-19 08:20:04.248,59,1758280804002230685,1758280804248376536,37,133,246.146,0
2025-09-19 08:30:03.693,60,1758281403461527908,1758281403693868061,39,135,232.34,0
2025-09-19 08:40:03.926,61,1758282003903908558,1758282003926405936,39,135,22.497,0
2025-09-19 08:50:04.228,62,1758282604133191259,1758282604228130795,38,134,94.94,0
2025-09-19 09:00:04.674,63,1758283204414184775,1758283204674831317,39,135,260.647,0
2025-09-19 09:10:03.880,64,1758283803870479086,1758283803879997871,39,135,9.519,0
2025-09-19 09:20:04.195,65,1758284404099373894,1758284404195902714,38,134,96.529,0
2025-09-19 09:30:03.687,66,1758285003405982567,1758285003687834541,39,135,281.852,0
2025-09-19 09:40:03.954,67,1758285603897659410,1758285603954004409,39,135,56.345,0
2025-09-19 09:50:04.256,68,1758286204178457800,1758286204256070516,38,134,77.613,0
2025-09-19 10:00:04.584,69,1758286804468633632,1758286804584881793,39,135,116.248,0
2025-09-19 10:10:03.938,70,1758287403778775475,1758287403938274586,39,135,159.499,0
2025-09-19 10:20:04.217,71,1758288004147521762,1758288004217036555,38,134,69.515,0
2025-09-19 10:30:04.718,72,1758288604409930986,1758288604718098861,39,135,308.168,0
2025-09-19 10:40:03.931,73,1758289203916536531,1758289203931428468,39,135,14.892,0
2025-09-19 10:50:04.357,74,1758289804153175928,1758289804357595707,38,134,204.42,0
2025-09-19 11:00:03.584,75,1758290403568661780,1758290403584331350,42,138,15.67,0
2025-09-19 11:10:04.104,76,1758291003793115047,1758291004104686633,42,138,311.572,0
2025-09-19 11:20:04.534,77,1758291604301101946,1758291604534467339,42,138,233.365,0
2025-09-19 11:30:03.755,78,1758292203733314957,1758292203755769990,42,138,22.455,0
2025-09-19 11:40:03.982,79,1758292803961347633,1758292803982091633,42,138,20.744,0
2025-09-19 11:50:04.222,80,1758293404199205524,1758293404222065636,41,137,22.86,0
2025-09-19 12:00:04.596,81,1758294004433208099,1758294004596457379,42,138,163.249,0
2025-09-19 12:10:03.897,82,1758294603800866364,1758294603897235916,42,138,96.37,0
2025-09-19 12:20:04.242,83,1758295204119332934,1758295204242388001,41,137,123.055,0
2025-09-19 12:30:04.670,84,1758295804453868183,1758295804670595735,42,138,216.728,0
2025-09-19 12:40:03.962,85,1758296403861288424,1758296403962346259,42,138,101.058,0
2025-09-19 12:50:04.214,86,1758297004161201632,1758297004214582705,38,134,53.381,0
2025-09-19 13:00:04.523,87,1758297604402812274,1758297604523112861,39,135,120.301,0
2025-09-19 13:10:03.878,88,1758298203715065149,1758298203877997559,39,135,162.932,0
2025-09-19 13:20:04.363,89,1758298804097570052,1758298804363770782,38,134,266.201,0
2025-09-19 13:30:03.744,90,1758299403574507856,1758299403744790273,39,135,170.282,0
2025-09-19 13:40:03.979,91,1758300003953673641,1758300003979442159,39,135,25.769,0
2025-09-19 13:50:04.353,92,1758300604199488704,1758300604353330816,41,137,153.842,0
2025-09-19 14:00:04.623,93,1758301204537044371,1758301204623391835,42,138,86.347,0
2025-09-19 14:10:03.973,94,1758301803810757074,1758301803973697202,42,138,162.94,0
2025-09-19 14:20:04.246,95,1758302404189273737,1758302404246284781,41,137,57.011,0
2025-09-19 14:30:04.516,96,1758303004447279735,1758303004516596841,42,138,69.317,0
2025-09-19 14:40:03.771,97,1758303603719960116,1758303603771565810,42,138,51.606,0
2025-09-19 14:50:04.120,98,1758304203981146255,1758304204120799954,42,138,139.654,0
2025-09-19 15:00:04.462,99,1758304804333886602,1758304804462150451,42,138,128.264,0
2025-09-19 15:10:04.863,100,1758305404673337620,1758305404863582042,42,138,190.244,0
2025-09-19 15:20:04.213,101,1758306004088582921,1758306004213882021,41,137,125.299,0
2025-09-19 15:30:04.484,102,1758306604405600759,1758306604484025342,42,138,78.425,0
2025-09-19 15:40:03.835,103,1758307203675593892,1758307203835111650,42,138,159.518,0
2025-09-19 15:50:04.110,104,1758307804046824558,1758307804110657494,41,137,63.833,0
2025-09-19 16:00:04.440,105,1758308404318836588,1758308404440684719,42,138,121.848,0
2025-09-19 16:10:04.828,106,1758309004642297639,1758309004828204821,42,138,185.907,0
2025-09-19 16:20:04.085,107,1758309604044527609,1758309604085103103,41,137,40.575,0
2025-09-19 16:30:04.516,108,1758310204305312109,1758310204516713464,42,138,211.401,0
2025-09-19 16:40:04.951,109,1758310804725894027,1758310804951009683,42,138,225.116,0
2025-09-19 16:50:04.227,110,1758311404154476759,1758311404227109472,41,137,72.633,0
2025-09-19 17:00:04.579,111,1758312004421332194,1758312004579771514,42,138,158.439,0
2025-09-19 17:10:04.005,112,1758312603780539244,1758312604005104926,42,138,224.566,0
2025-09-19 17:10:05.031,113,1758312605016072406,1758312605031406829,41,137,15.334,0
2025-09-19 17:20:04.398,114,1758313204251887966,1758313204398584816,41,137,146.697,0
2025-09-19 17:30:04.649,115,1758313804611429537,1758313804649072720,42,138,37.643,0
