t_rx_iso,msg_seq,t_tx_ns,t_rx_ns,payload_app,payload_envelope,lat_ms,clock_skew
2025-09-22 20:00:05.628,1,1758582005349594708,1758582005628802069,42,138,279.207,0
2025-09-22 20:10:04.944,2,1758582604855869091,1758582604944056188,42,138,88.187,0
2025-09-22 20:20:05.213,3,1758583205165136034,1758583205213845671,41,137,48.71,0
2025-09-22 20:30:05.485,4,1758583805430913311,1758583805485037637,42,138,54.124,0
2025-09-22 20:40:05.756,5,1758584405695233772,1758584405756789434,42,138,61.556,0
2025-09-22 20:50:05.106,6,1758585004973165416,1758585005106572080,42,138,133.407,0
2025-09-22 21:00:05.518,7,1758585605295251431,1758585605518019092,42,138,222.768,0
2025-09-22 21:10:05.791,8,1758586205713763935,1758586205791017750,42,138,77.254,0
2025-09-22 21:20:05.141,9,1758586805002357007,1758586805141640362,40,136,139.283,0
2025-09-22 21:30:05.404,10,1758587405353663403,1758587405404215836,42,138,50.552,0
2025-09-22 21:40:05.846,11,1758588005608015977,1758588005846223393,42,138,238.207,0
2025-09-22 21:50:05.397,12,1758588605066692680,1758588605397945549,41,137,331.253,0
2025-09-22 22:00:05.603,13,1758589205587241745,1758589205603911324,42,138,16.67,0
2025-09-22 22:10:04.803,14,1758589804791447037,1758589804803698996,42,138,12.252,0
2025-09-22 22:20:05.114,15,1758590405008694734,1758590405114195927,38,134,105.501,0
2025-09-22 22:30:05.584,16,1758591005313408717,1758591005584573221,39,135,271.165,0
2025-09-22 22:40:04.953,17,1758591604786179288,1758591604953302328,39,135,167.123,0
2025-09-22 22:50:05.320,18,1758592205172230870,1758592205320041072,38,134,147.81,0
2025-09-22 23:00:05.748,19,1758592805526719742,1758592805748803466,39,135,222.084,0
2025-09-22 23:10:04.971,20,1758593404932456121,1758593404971612724,39,135,39.157,0
2025-09-22 23:20:08.446,21,1758594008160966351,1758594008446037355,38,134,285.071,0
2025-09-22 23:30:06.675,22,1758594606639251063,1758594606675411889,39,135,36.161,0
