msg_seq,payload_app,payload_envelope,lat_ms,wire_L3_bytes_est,packets_count,t_tx_ns,t_rx_ns,clock_skew
1,42,138,283.028,1899,12,1758246004347442005,1758246004630469549,0
2,39,135,309.704,846,5,1758246603868449983,1758246604178154258,0
3,39,135,216.133,829,5,1758247204381063766,1758247204597196693,0
4,39,135,90.981,829,5,1758247803795466758,1758247803886447527,0
5,38,134,15.479,828,5,1758248404110055012,1758248404125534349,0
6,39,135,289.971,829,5,1758249004339419300,1758249004629390631,0
7,39,135,12.732,829,5,1758249603840331565,1758249603853063235,0
8,38,134,143.019,828,5,1758250204080686369,1758250204223705573,0
9,39,135,227.134,829,5,1758250803412427147,1758250803639560689,0
10,39,135,244.835,830,5,1758251403833554698,1758251404078390150,0
11,39,135,120.448,830,5,1758252004292607618,1758252004413055207,0
12,39,135,62.312,830,5,1758252603618876558,1758252603681188320,0
13,39,135,236.341,830,5,1758253203885208332,1758253204121549798,0
14,39,135,75.655,830,5,1758253804323767853,1758253804399422818,0
15,39,135,296.631,830,5,1758254403582043810,1758254403878674867,0
16,38,134,100.673,829,5,1758255004096107511,1758255004196780813,0
17,39,135,269.532,830,5,1758255604406122056,1758255604675654528,0
18,39,135,140.947,830,5,1758256203880076853,1758256204021023595,0
19,38,134,77.564,829,5,1758256804238828862,1758256804316393309,0
20,39,135,165.674,830,5,1758257404528884813,1758257404694559190,0
21,39,135,154.1,830,5,1758258003883780959,1758258004037880747,0
22,38,134,157.64,829,5,1758258604248539514,1758258604406179837,0
23,39,135,173.1,830,5,1758259203607710869,1758259203780810773,0
24,39,135,29.676,830,5,1758259803993706594,1758259804023382214,0
25,38,134,38.782,829,5,1758260404248627222,1758260404287408894,0
26,39,135,179.49,830,5,1758261004500610058,1758261004680099920,0
27,39,135,55.372,830,5,1758261603888758141,1758261603944130491,0
28,38,134,231.109,829,5,1758262204164945246,1758262204396054183,0
29,39,135,15.604,830,5,1758262804585793929,1758262804601397542,0
30,39,135,15.248,830,5,1758263403795442370,1758263403810690228,0
31,38,134,161.338,829,5,1758264004021402923,1758264004182741002,0
32,39,135,224.761,830,5,1758264604390422866,1758264604615183529,0
33,39,135,294.632,830,5,1758265203820095901,1758265204114728346,0
34,39,135,158.554,830,5,1758265804333589076,1758265804492143346,0
35,39,135,60.859,830,5,1758266403679175660,1758266403740034184,0
36,39,135,58.313,830,5,1758267003931253977,1758267003989567187,0
37,38,134,123.082,1436,12,1758267604192311771,1758267604315393440,0
38,39,135,323.892,830,5,1758268204509735279,1758268204833627647,0
39,38,134,98.807,829,5,1758268804049168850,1758268804147976078,0
40,39,135,132.717,830,5,1758269404360009791,1758269404492727249,0
41,39,135,45.296,830,5,1758270003698308259,1758270003743604342,0
42,39,135,292.469,830,5,1758270603962691714,1758270604255160791,0
43,39,135,52.236,830,5,1758271204448638216,1758271204500873806,0
44,39,135,28.043,830,5,1758271803692096875,1758271803720139884,0
45,39,135,199.547,830,5,1758272403915371773,1758272404114918452,0
46,39,135,272.229,830,5,1758273004325750568,1758273004597979393,0
47,39,135,246.96,830,5,1758273603804018450,1758273604050978103,0
48,38,134,157.071,829,5,1758274204268141781,1758274204425212338,0
49,39,135,15.146,830,5,1758274804613428463,1758274804628574389,0
50,39,135,260.127,830,5,1758275403819307412,1758275404079434460,0
51,39,135,14.274,830,5,1758276004293800128,1758276004308073679,0
52,39,135,174.747,830,5,1758276604516096287,1758276604690843111,0
53,39,135,24.836,830,5,1758277205896798206,1758277205921634015,0
54,41,137,258.19,836,5,1758277804146344576,1758277804404534342,0
55,39,135,66.785,830,5,1758278403620882380,1758278403687667066,0
56,39,135,70.328,830,5,1758279003903746903,1758279003974074647,0
57,38,134,251.191,829,5,1758279604168739707,1758279604419930713,0
58,39,135,170.632,830,5,1758280203616819986,1758280203787451515,0
59,37,133,246.146,828,5,1758280804002230685,1758280804248376536,0
60,39,135,232.34,830,5,1758281403461527908,1758281403693868061,0
61,39,135,22.497,830,5,1758282003903908558,1758282003926405936,0
62,38,134,94.94,829,5,1758282604133191259,1758282604228130795,0
63,39,135,260.647,830,5,1758283204414184775,1758283204674831317,0
64,39,135,9.519,830,5,1758283803870479086,1758283803879997871,0
65,38,134,96.529,829,5,1758284404099373894,1758284404195902714,0
66,39,135,281.852,830,5,1758285003405982567,1758285003687834541,0
67,39,135,56.345,830,5,1758285603897659410,1758285603954004409,0
68,38,134,77.613,829,5,1758286204178457800,1758286204256070516,0
69,39,135,116.248,830,5,1758286804468633632,1758286804584881793,0
70,39,135,159.499,830,5,1758287403778775475,1758287403938274586,0
71,38,134,69.515,829,5,1758288004147521762,1758288004217036555,0
72,39,135,308.168,1374,6,1758288604409930986,1758288604718098861,0
73,39,135,14.892,830,5,1758289203916536531,1758289203931428468,0
74,38,134,204.42,829,5,1758289804153175928,1758289804357595707,0
75,42,138,15.67,837,5,1758290403568661780,1758290403584331350,0
76,42,138,311.572,1388,6,1758291003793115047,1758291004104686633,0
77,42,138,233.365,837,5,1758291604301101946,1758291604534467339,0
78,42,138,22.455,837,5,1758292203733314957,1758292203755769990,0
79,42,138,20.744,837,5,1758292803961347633,1758292803982091633,0
80,41,137,22.86,836,5,1758293404199205524,1758293404222065636,0
81,42,138,163.249,837,5,1758294004433208099,1758294004596457379,0
82,42,138,96.37,837,5,1758294603800866364,1758294603897235916,0
83,41,137,123.055,836,5,1758295204119332934,1758295204242388001,0
84,42,138,216.728,837,5,1758295804453868183,1758295804670595735,0
85,42,138,101.058,837,5,1758296403861288424,1758296403962346259,0
86,38,134,53.381,829,5,1758297004161201632,1758297004214582705,0
87,39,135,120.301,830,5,1758297604402812274,1758297604523112861,0
88,39,135,162.932,830,5,1758298203715065149,1758298203877997559,0
89,38,134,266.201,829,5,1758298804097570052,1758298804363770782,0
90,39,135,170.282,830,5,1758299403574507856,1758299403744790273,0
