msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down
1,1758327604518856523,1758327604883132823,364.276,42,138,1847,2040,3887,11,9
2,1758328204122737243,1758328204204890593,82.153,41,137,852,362,1214,5,3
3,1758328804400663455,1758328804475693618,75.03,42,138,836,362,1198,5,3
4,1758329403669997479,1758329403917673218,247.676,42,138,836,362,1198,5,3
5,1758330004133957769,1758330004396496656,262.539,41,137,835,362,1197,5,3
6,1758330603604173131,1758330603882462409,278.289,42,138,836,362,1198,5,3
7,1758331204099603745,1758331204142695272,43.092,41,137,835,362,1197,5,3
8,1758331804340256130,1758331804414771482,74.515,42,138,836,362,1198,5,3
9,1758332404609494135,1758332404908443305,298.949,39,135,829,362,1191,5,3
10,1758333006130177426,1758333006206981187,76.804,38,134,829,414,1243,5,4
11,1758333606417677859,1758333606644358133,226.68,39,135,830,414,1244,5,4
12,1758334204853901351,1758334205089644694,235.743,39,135,830,414,1244,5,4
13,1758334806285029266,1758334806528105814,243.077,39,135,830,414,1244,5,4
14,1758335405725226006,1758335405733816874,8.591,39,135,830,362,1192,5,3
15,1758336003936824637,1758336003951810357,14.986,39,135,830,362,1192,5,3
16,1758336604167757364,1758336604297652595,129.895,38,134,829,362,1191,5,3
17,1758337204505450058,1758337204575332634,69.883,39,135,830,362,1192,5,3
18,1758337803773985875,1758337803898633295,124.647,39,135,830,362,1192,5,3
19,1758338404118028777,1758338406518936011,2400.907,38,134,3001,670,3671,9,8
20,1758339006705287465,1758339006885504321,180.217,39,135,830,414,1244,5,4
21,1758339605101461730,1758339605429703653,328.242,38,134,829,362,1191,5,3
22,1758340204636415809,1758340204664064101,27.648,39,135,830,362,1192,5,3
23,1758340806870453933,1758340807051555431,181.101,39,135,830,414,1244,5,4
24,1758341407263787208,1758341407390610748,126.824,38,134,829,362,1191,5,3
25,1758342004583258896,1758342004811833720,228.575,39,135,830,414,1244,5,4
26,1758342607019663517,1758342607342570431,322.907,38,134,829,414,1243,5,4
27,1758343206545739758,1758343206655004551,109.265,39,135,830,414,1244,5,4
28,1758343806855571990,1758343807089814090,234.242,39,135,830,414,1244,5,4
29,1758344408301978438,1758344408461056990,159.079,39,135,830,362,1192,5,3
30,1758345006642871522,1758345006658294653,15.423,39,135,830,414,1244,5,4
31,1758345603837494167,1758345603999527352,162.033,39,135,830,362,1192,5,3
32,1758346206204855580,1758346206369825465,164.97,38,134,829,362,1191,5,3
33,1758346804565700028,1758346805286931789,721.232,39,135,1374,478,1852,6,5
34,1758347407470792399,1758347408325912631,855.12,39,135,1374,426,1800,6,4
35,1758348004532278476,1758348006258322851,1726.044,39,135,1918,542,2460,7,6
36,1758348604465610009,1758348604505021166,39.411,39,135,830,414,1244,5,4
37,1758349206710423446,1758349206885239520,174.816,39,135,830,414,1244,5,4
38,1758349806101916741,1758349806143400354,41.484,38,134,829,414,1243,5,4
39,1758350423360840529,1758350423583564428,222.724,39,135,830,414,1244,5,4
40,1758351006763683808,1758351006887421138,123.737,39,135,830,414,1244,5,4
41,1758351606102264666,1758351606285425603,183.161,38,134,829,414,1243,5,4
42,1758352204488508531,1758352204539133617,50.625,39,135,830,414,1244,5,4
43,1758352804738835782,1758352804781763334,42.928,39,135,830,414,1244,5,4
44,1758353405992874173,1758353406139577639,146.703,39,135,830,414,1244,5,4
45,1758354004348538710,1758354005888643334,1540.105,39,135,1918,490,2408,7,5
46,1758354604103203372,1758354604118396166,15.193,38,134,829,362,1191,5,3
