msg_seq,payload_app,payload_envelope,lat_ms,wire_L3_bytes_est,packets_count,t_tx_ns,t_rx_ns,clock_skew
1,457,481,65.589,1530,16,1758245955627996247,1758245955693585517,0
2,457,481,68.113,1966,23,1758246555853298834,1758246555921412119,0
3,457,481,168.587,2118,25,1758247156066826502,1758247156235413898,0
4,457,481,244.97,2118,25,1758247756282934789,1758247756527904734,0
5,457,481,138.098,1890,22,1758248356483181685,1758248356621279487,0
6,457,481,86.301,2042,24,1758248955682938578,1758248955769239084,0
7,457,481,243.801,1890,22,1758249555863623609,1758249556107424954,0
8,457,481,235.537,1890,22,1758250156063560486,1758250156299097200,0
9,453,477,56.376,1886,22,1758250756273576485,1758250756329952870,0
10,458,482,13.441,2147,26,1758251356486525391,1758251356499966525,0
11,458,482,188.543,1891,22,1758251955683627574,1758251955872170217,0
12,458,482,13.057,1763,20,1758252555877576802,1758252555890633588,0
13,458,482,102.892,1891,22,1758253156094428122,1758253156197319972,0
14,458,482,118.158,2195,26,1758253756308224052,1758253756426382006,0
15,458,482,165.228,1891,22,1758254355516847596,1758254355682075644,0
16,458,482,277.215,2043,24,1758254955720637155,1758254955997851895,0
17,458,482,234.018,1891,22,1758255555925785930,1758255556159803865,0
18,458,482,289.631,2119,25,1758256156144341454,1758256156433972131,0
19,458,482,312.768,2043,24,1758256756335126862,1758256756647895090,0
20,458,482,252.82,1967,23,1758257356516847722,1758257356769667587,0
21,458,482,47.854,1891,22,1758257955720692191,1758257955768546668,0
22,458,482,202.659,2119,25,1758258555928081622,1758258556130740280,0
23,458,482,24.124,2043,24,1758259156141964794,1758259156166089064,0
24,458,482,56.009,1967,23,1758259756350677768,1758259756406687142,0
25,458,482,119.423,1891,22,1758260356551239939,1758260356670662516,0
26,458,482,89.763,1891,22,1758260955743926724,1758260955833689539,0
27,458,482,41.997,1891,22,1758261555933177886,1758261555975175155,0
28,458,482,27.005,1891,22,1758262156148144072,1758262156175149171,0
29,458,482,48.566,1967,23,1758262756356812006,1758262756405378268,0
30,458,482,86.631,1891,22,1758263355563802794,1758263355650433781,0
31,458,482,133.872,1891,22,1758263955769847522,1758263955903719178,0
32,458,482,94.908,2271,27,1758264555981520788,1758264556076428754,0
33,458,482,7.035,1891,22,1758265156198678855,1758265156205714247,0
34,458,482,182.464,1891,22,1758265756385572581,1758265756568036282,0
35,458,482,225.158,1711,19,1758266355590615799,1758266355815773618,0
36,458,482,320.133,1967,23,1758266955797964067,1758266956118097325,0
37,458,482,74.819,1967,23,1758267556009856353,1758267556084675593,0
38,458,482,66.145,1891,22,1758268156228666600,1758268156294811558,0
39,458,482,176.589,1967,23,1758268755432530247,1758268755609119740,0
40,458,482,237.861,2043,24,1758269355628317929,1758269355866178768,0
41,458,482,217.366,2195,26,1758269955814733729,1758269956032099524,0
42,458,482,322.736,2195,26,1758270556009746984,1758270556332483464,0
43,458,482,217.115,1891,22,1758271156225168222,1758271156442283108,0
44,458,482,290.429,1891,22,1758271756434144889,1758271756724573855,0
45,458,482,320.228,1891,22,1758272355638485029,1758272355958713270,0
46,458,482,187.911,2223,27,1758272955836743314,1758272956024654778,0
47,458,482,12.192,1891,22,1758273556050840336,1758273556063032090,0
48,458,482,251.2,1891,22,1758274156252907604,1758274156504107139,0
49,458,482,149.609,2271,27,1758274755461618500,1758274755611227349,0
50,458,482,179.594,1891,22,1758275355668445892,1758275355848040055,0
51,458,482,243.9,1891,22,1758275955869255210,1758275956113155416,0
52,458,482,64.63,1891,22,1758276556087408373,1758276556152038290,0
53,458,482,104.711,1891,22,1758277156297901445,1758277156402612128,0
54,462,486,60.6,1895,22,1758277755497931337,1758277755558531346,0
55,458,482,76.311,2119,25,1758278355687178526,1758278355763489952,0
56,458,482,10.681,1891,22,1758278955886027716,1758278955896708461,0
57,458,482,87.781,1763,20,1758279556098215757,1758279556185996702,0
58,458,482,106.917,2271,27,1758280156316191880,1758280156423109064,0
59,458,482,195.28,2043,24,1758280755520487363,1758280755715767809,0
60,458,482,90.251,1891,22,1758281355715462750,1758281355805713751,0
61,458,482,160.266,1891,22,1758281955899307225,1758281956059573655,0
62,458,482,83.751,1891,22,1758282556116355724,1758282556200106458,0
63,458,482,113.853,1891,22,1758283156328786673,1758283156442639184,0
64,458,482,83.287,1891,22,1758283755540846463,1758283755624133607,0
65,458,482,217.358,1891,22,1758284355744444924,1758284355961802942,0
66,458,482,113.358,2119,25,1758284955955868973,1758284956069226886,0
67,458,482,165.196,2043,24,1758285556170925660,1758285556336121531,0
68,458,482,271.423,1891,22,1758286156367948161,1758286156639370768,0
69,458,482,181.741,1891,22,1758286755556174098,1758286755737914689,0
70,458,482,252.764,1891,22,1758287355762160358,1758287356014924335,0
71,458,482,61.75,2119,25,1758287955966275432,1758287956028025340,0
72,458,482,232.763,1891,22,1758288556179210421,1758288556411973672,0
73,458,482,66.87,1891,22,1758289156391573544,1758289156458443357,0
74,458,482,158.52,1891,22,1758289756593437795,1758289756751958023,0
75,462,486,60.647,2199,26,1758290355785877817,1758290355846524587,0
76,462,486,190.206,1895,22,1758290955989884087,1758290956180090512,0
77,462,486,98.292,1895,22,1758291556204349891,1758291556302641894,0
78,462,486,11.844,1895,22,1758292156411194869,1758292156423038390,0
79,462,486,11.287,1895,22,1758292755615802109,1758292755627089080,0
80,462,486,11.646,1767,20,1758293355821232200,1758293355832877938,0
81,462,486,24.881,1895,22,1758293956033877915,1758293956058759082,0
82,462,486,31.271,1895,22,1758294556248112220,1758294556279383512,0
83,462,486,209.358,2123,25,1758295156448896882,1758295156658255039,0
84,462,486,189.897,1895,22,1758295755636728999,1758295755826626070,0
85,462,486,108.877,1895,22,1758296356846286195,1758296356955163329,0
86,458,482,234.45,1891,22,1758296956059101061,1758296956293550587,0
87,458,482,250.405,1891,22,1758297556274302807,1758297556524707441,0
88,458,482,156.217,1891,22,1758298155487717953,1758298155643934732,0
89,458,482,54.454,1891,22,1758298756692513967,1758298756746968198,0
90,458,482,294.129,1891,22,1758299355884575261,1758299356178703967,0
91,462,486,269.566,1895,22,1758299956092429917,1758299956361995615,0
92,462,486,146.401,1895,22,1758300556282159469,1758300556428560763,0
93,462,486,206.658,1895,22,1758301156493153543,1758301156699811099,0
94,462,486,40.513,1895,22,1758301755701617738,1758301755742130383,0
95,462,486,104.316,1895,22,1758302355908371222,1758302356012687657,0
96,462,486,154.248,1895,22,1758302956130787575,1758302956285035077,0
97,462,486,115.711,2047,24,1758303556345661796,1758303556461373281,0
98,462,486,30.731,1895,22,1758304155550712920,1758304155581443679,0
99,462,486,285.343,1895,22,1758304755746901964,1758304756032244626,0
100,467,491,58.38,1900,22,1758305355940040674,1758305355998420322,0
101,463,487,147.286,1896,22,1758305956141407330,1758305956288693474,0
102,463,487,211.073,1896,22,1758306556349052428,1758306556560125420,0
103,467,491,12.383,1900,22,1758307155558316893,1758307155570699761,0
104,467,491,111.837,1900,22,1758307755767929296,1758307755879766428,0
105,467,491,12.414,1900,22,1758308355978352843,1758308355990766621,0
106,463,487,98.33,1716,19,1758308956198707530,1758308956297037555,0
