msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down,msg_total_bytes_enviada,eficiencia_env,overhead_env_bytes
1,1758581955995596351,1758581956133774211,138.178,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
2,1758582556221230470,1758582556403410040,182.18,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
3,1758583156420621766,1758583156676492098,255.87,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
4,1758583756612037871,1758583756639761825,27.724,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
5,1758584355798140983,1758584355989069065,190.928,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
6,1758584955988682110,1758584956260449536,271.767,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
7,1758585556206037430,1758585556362721982,156.685,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
8,1758586156418789829,1758586156638331655,219.542,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
9,1758586756624338887,1758586756909976389,285.638,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
10,1758587355827451260,1758587355943123359,115.672,462,486,1971,902,2873,35,35,1971,0.2465753424657534,1485
11,1758587956044531627,1758587956077903660,33.372,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
12,1758588556248363145,1758588556538570966,290.208,462,486,2123,1030,3153,39,39,2123,0.2289213377296279,1637
13,1758589156459530601,1758589156623018047,163.487,462,486,1959,914,2873,35,35,1959,0.24808575803981622,1473
14,1758589755670166245,1758589757030448980,1360.283,462,486,2686,1094,3780,41,41,2686,0.18093819806403574,2200
15,1758590355878411126,1758590356204814606,326.403,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
16,1758590956101044701,1758590956179342425,78.298,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
17,1758591556319529729,1758591556376923083,57.393,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
18,1758592156521407301,1758592156528007035,6.6,458,482,2067,1070,3137,39,39,2067,0.2331881954523464,1585
19,1758592757710015813,1758592757776342242,66.326,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
20,1758593355916400643,1758593356010039666,93.639,458,482,2195,1146,3341,42,42,2195,0.21958997722095672,1713
21,1758593956135915090,1758593957752638209,1616.723,458,482,2602,1082,3684,40,40,2602,0.18524212144504226,2120
22,1758594556350175688,1758594556442251812,92.076,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
23,1758595157561587542,1758595159319920885,1758.333,458,482,2754,1158,3912,43,43,2754,0.17501815541031226,2272
24,1758595755750319457,1758595757391716619,1641.397,458,482,2602,1030,3632,39,39,2602,0.18524212144504226,2120
25,1758596355961459874,1758596356033174657,71.715,458,482,2195,1146,3341,42,42,2195,0.21958997722095672,1713
26,1758596956183929915,1758596956205384367,21.454,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
27,1758597561383533316,1758597561418769989,35.237,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
28,1758598156578456188,1758598156911205308,332.749,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
29,1758598758773248571,1758598759069655018,296.406,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
30,1758599355968228553,1758599356171438497,203.21,458,482,2259,1222,3481,44,44,2259,0.21336874723328905,1777
31,1758599956163782081,1758599956295674714,131.893,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
32,1758600556349495906,1758600556514607888,165.112,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
33,1758601156560164690,1758601156573161501,12.997,458,482,2043,1018,3061,38,38,2043,0.2359275575134606,1561
34,1758601755767887422,1758601755882495478,114.608,458,482,2067,1018,3085,38,38,2067,0.2331881954523464,1585
35,1758602356980007976,1758602358044285232,1064.277,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
36,1758602956192968799,1758602956483133953,290.165,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
37,1758603556398617134,1758603559338045379,2939.428,458,482,2830,1222,4052,45,45,2830,0.17031802120141343,2348
38,1758604156583665978,1758604156811512537,227.847,458,482,2271,1158,3429,43,43,2271,0.21224130339057684,1789
39,1758604757787462673,1758604759728110426,1940.648,458,482,2754,1262,4016,45,45,2754,0.17501815541031226,2272
40,1758605355991375620,1758605356173310883,181.935,458,482,2183,1158,3341,42,42,2183,0.22079706825469536,1701
41,1758605956204317229,1758605956299614975,95.298,458,482,2195,1146,3341,42,42,2195,0.21958997722095672,1713
42,1758606556414678172,1758606556569879960,155.202,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
43,1758607157607251139,1758607157917024516,309.773,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
44,1758607755809245541,1758607755895597122,86.352,458,482,2031,978,3009,37,37,2031,0.23732151649433778,1549
45,1758608356021554928,1758608356280563632,259.009,458,482,2271,1210,3481,44,44,2271,0.21224130339057684,1789
46,1758608956236866753,1758608956351331017,114.464,458,482,2183,1106,3289,41,41,2183,0.22079706825469536,1701
47,1758609556438743161,1758609556686465607,247.722,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
48,1758610156624162018,1758610156670812263,46.65,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
49,1758610755827833692,1758610755912112001,84.278,458,482,2107,1042,3149,39,39,2107,0.22876127195064072,1625
50,1758611356045461912,1758611356059462021,14.0,458,482,1991,954,2945,36,36,1991,0.24208940231039677,1509
51,1758611956260993316,1758611956552013545,291.02,458,482,2271,1158,3429,43,43,2271,0.21224130339057684,1789
52,1758612556450197910,1758612556596379028,146.181,458,482,2043,1018,3061,38,38,2043,0.2359275575134606,1561
53,1758613157649863685,1758613157929257938,279.394,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
54,1758613755839847636,1758613755908117142,68.27,458,482,2423,1286,3709,47,47,2423,0.19892695006190672,1941
55,1758614356045404546,1758614356081360220,35.956,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
56,1758614957256230297,1758614957314941754,58.711,458,482,2031,978,3009,37,37,2031,0.23732151649433778,1549
57,1758615556465752758,1758615556489913048,24.16,458,482,2423,1222,3645,46,46,2423,0.19892695006190672,1941
58,1758616156666201340,1758616156855349981,189.149,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
59,1758616758863821723,1758616758895814243,31.993,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
60,1758617357066837120,1758617357279361191,212.524,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
61,1758617956282970923,1758617956328583260,45.612,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
62,1758618556495215964,1758618556539046916,43.831,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
63,1758619156697879520,1758619156946428262,248.549,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
64,1758619755901974055,1758619756012970515,110.996,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
65,1758620358118564396,1758620358132777924,14.214,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
66,1758620956326653049,1758620956340719561,14.067,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
67,1758621558515330856,1758621558528203182,12.872,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
68,1758622156726412998,1758622156740525269,14.112,458,482,1839,826,2665,32,32,1839,0.26209896682979883,1357
69,1758622755934076246,1758622756029071760,94.996,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
70,1758623356154550099,1758623356220674481,66.124,462,486,1971,902,2873,35,35,1971,0.2465753424657534,1485
71,1758623956350600716,1758623956515136120,164.535,458,482,2043,1018,3061,38,38,2043,0.2359275575134606,1561
72,1758624556557467372,1758624556807485892,250.019,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
73,1758625155757188299,1758625155821802269,64.614,458,482,2043,1018,3061,38,38,2043,0.2359275575134606,1561
74,1758625757964289630,1758625759711434274,1747.145,458,482,2526,966,3492,37,37,2526,0.19081551860649248,2044
75,1758626356184469526,1758626356327485949,143.016,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
76,1758626956384449083,1758626956516026140,131.577,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
77,1758627556577651997,1758627556892086397,314.434,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
78,1758628155758168993,1758628155921446043,163.277,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
79,1758628755969959920,1758628756089717418,119.757,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
80,1758629356190357125,1758629356337169997,146.813,458,482,2195,1146,3341,42,42,2195,0.21958997722095672,1713
81,1758629956401419005,1758629956482527228,81.108,458,482,2043,1070,3113,39,39,2043,0.2359275575134606,1561
82,1758630555607453004,1758630555853962921,246.51,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
83,1758631155811941296,1758631155900586864,88.646,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
84,1758631756026864837,1758631756338356838,311.492,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
85,1758632356246014589,1758632356386379459,140.365,462,486,2199,1146,3345,42,42,2199,0.22100954979536153,1713
86,1758632956456226709,1758632956502811914,46.585,462,486,2047,966,3013,37,37,2047,0.23742061553492916,1561
87,1758633555647994036,1758633555885862923,237.869,462,486,2047,966,3013,37,37,2047,0.23742061553492916,1561
88,1758634156853868727,1758634156867004838,13.136,462,486,1843,826,2669,32,32,1843,0.26370048833423765,1357
89,1758634756070441952,1758634756113584829,43.143,462,486,2047,966,3013,37,37,2047,0.23742061553492916,1561
90,1758635356283458307,1758635356412638872,129.181,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
91,1758635956477480664,1758635956500420455,22.94,462,486,2047,1018,3065,38,38,2047,0.23742061553492916,1561
92,1758636555686363845,1758636555907013695,220.65,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
93,1758637155894107586,1758637156177448673,283.341,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
94,1758637756117952994,1758637756217652119,99.699,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
95,1758638356329515955,1758638356390931239,61.415,462,486,1971,954,2925,36,36,1971,0.2465753424657534,1485
96,1758638956521200499,1758638956586544704,65.344,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
97,1758639555707351856,1758639555832998161,125.646,462,486,2047,966,3013,37,37,2047,0.23742061553492916,1561
98,1758640155910252245,1758640156149199477,238.947,462,486,2263,1222,3485,44,44,2263,0.2147591692443659,1777
